44214.553250	-73099	44214.553250	44214.553179	6.153183
44214.615620	-73098	44214.615620	44214.615542	6.771582
44214.677980	-73097	44214.677980	44214.677904	6.525982
44968.023090	-61017	44968.023090	44968.021043	176.854251
44968.957120	-61002	44968.957120	44968.956486	54.802241
44969.019620	-61001	44969.019620	44969.018849	66.652640
44978.997550	-60841	44978.997550	44978.996903	55.868538
44993.900780	-60602	44993.900780	44993.901623	-72.814015
44993.963280	-60601	44993.963280	44993.963986	-60.963615
44994.026420	-60600	44994.026420	44994.026348	6.182784
45020.905130	-60169	45020.905130	45020.904734	34.248908
45021.902920	-60153	45021.902920	45021.902539	32.911297
45024.833860	-60106	45024.833860	45024.833593	23.096068
45731.966400	-48767	45731.966400	45731.965865	46.230410
45763.833730	-48256	45763.833730	45763.833277	39.096484
45854.882800	-46796	45854.882800	45854.883028	-19.672451
46054.942310	-43588	46054.942310	46054.943027	-61.927304
46086.935650	-43075	46086.935650	46086.935165	41.903568
46086.997960	-43074	46086.997960	46086.997528	37.337967
48560.557800	-3410	48560.557800	48560.557317	41.754182
48773.215090	1	48773.215090	48773.214610	41.472000
48774.212930	16	48774.212930	48774.212415	44.454389
49137.912940	5848	49137.912940	49137.912514	36.847457
49143.962140	5945	49143.962140	49143.961709	37.216195
49144.024380	5946	49144.024380	49144.024072	26.602595
49144.086890	5947	49144.086890	49144.086435	39.316993
49144.960050	5961	49144.960050	49144.959515	46.246585
49145.022350	5962	49145.022350	49145.021878	40.816984
49145.084540	5963	49145.084540	49145.084240	25.883384
49145.147110	5964	49145.147110	49145.146603	43.781783
51870.776880	49670	51870.776880	51870.777002	-10.535790
51870.901630	49672	51870.901630	51870.901728	-8.434991
52284.678950	56307	52284.678950	52284.679188	-20.587237
52284.741363	56308	52284.741363	52284.741551	-16.253637
54914.832280	98482	54914.832280	54914.832075	17.717771
54914.894663	98483	54914.894663	54914.894438	19.459371
54916.827926	98514	54916.827926	54916.827686	20.744951
54919.696603	98560	54919.696603	54919.696377	19.556121
54920.756784	98577	54920.756784	54920.756545	20.651310
54922.627668	98607	54922.627668	54922.627430	20.540891
54922.690017	98608	54922.690017	54922.689793	19.344890
54922.752365	98609	54922.752365	54922.752156	18.062490
54922.814727	98610	54922.814727	54922.814519	17.989689
54937.781831	98850	54937.781831	54937.781601	19.871135
54937.844195	98851	54937.844195	54937.843964	19.971135
54938.717285	98865	54938.717285	54938.717044	20.852726
54938.779611	98866	54938.779611	54938.779406	17.669525
54940.650507	98896	54940.650507	54940.650292	18.595906
54940.712869	98897	54940.712869	54940.712655	18.523106
54940.775243	98898	54940.775243	54940.775017	19.487104
54940.837637	98899	54940.837637	54940.837380	22.179104
54941.773045	98914	54941.773045	54941.772823	19.186295
54941.835408	98915	54941.835408	54941.835186	19.199894
54942.646122	98928	54942.646122	54942.645903	18.944686
54942.770852	98930	54942.770852	54942.770628	19.317485
54942.833221	98931	54942.833221	54942.832991	19.849484
54942.895591	98932	54942.895591	54942.895354	20.467883
54943.706304	98945	54943.706304	54943.706071	20.126275
54943.768653	98946	54943.768653	54943.768434	18.930274
54943.831008	98947	54943.831008	54943.830797	18.252674
54970.647033	99377	54970.647033	54970.646819	18.484399
54970.709414	99378	54970.709414	54970.709182	20.053198
54993.658926	99746	54993.658926	54993.658708	18.836962
54998.647982	99826	54998.647982	54998.647735	21.307311
55005.632601	99938	55005.632601	55005.632374	19.633639
55135.970976	102028	55135.970976	55135.970715	22.568301
55156.924900	102364	55156.924900	55156.924630	23.336087
55156.987244	102365	55156.987244	55156.986993	21.708087
55157.922708	102380	55157.922708	55157.922435	23.553676
55158.982865	102397	55158.982865	55158.982604	22.575265
55160.916107	102428	55160.916107	55160.915852	22.046445
55160.978466	102429	55160.978466	55160.978215	21.714445
55161.913906	102444	55161.913906	55161.913657	21.486435
55161.976285	102445	55161.976285	55161.976020	22.882435
55162.911738	102460	55162.911738	55162.911463	23.777626
55205.942102	103150	55205.942102	55205.941824	24.002784
55206.004463	103151	55206.004463	55206.004187	23.843583
55206.939920	103166	55206.939920	55206.939630	25.084373
55207.002308	103167	55207.002308	55207.001993	27.257973
55208.873171	103197	55208.873171	55208.872878	25.333154
55209.870977	103213	55209.870977	55209.870683	25.377943
55209.933305	103214	55209.933305	55209.933046	22.367542
55209.995687	103215	55209.995687	55209.995409	24.022742
55212.989111	103263	55212.989111	55212.988825	24.675512
55244.918892	103775	55244.918892	55244.918601	25.158384
55244.981257	103776	55244.981257	55244.980964	25.344783
55246.976864	103808	55246.976864	55246.976575	25.002363
55389.663079	106096	55389.663079	55389.662758	27.692098
